ResultModel(adx=31, sma=6, over=5, numberOfPositions=29, result=1.2195332893264267158038289913739)
ResultModel(adx=31, sma=6, over=6, numberOfPositions=29, result=1.2195332893264267158038289913739)
ResultModel(adx=49, sma=9, over=1, numberOfPositions=18, result=1.2191240493028356582429302130441)
ResultModel(adx=49, sma=9, over=2, numberOfPositions=18, result=1.2191240493028356582429302130441)
ResultModel(adx=49, sma=9, over=3, numberOfPositions=18, result=1.2191240493028356582429302130441)
ResultModel(adx=49, sma=9, over=4, numberOfPositions=18, result=1.2191240493028356582429302130441)
ResultModel(adx=49, sma=9, over=5, numberOfPositions=18, result=1.2191240493028356582429302130441)
ResultModel(adx=52, sma=9, over=8, numberOfPositions=16, result=1.2188995282745609025033647019026)
ResultModel(adx=55, sma=6, over=9, numberOfPositions=16, result=1.2185980362007967451675528116865)
ResultModel(adx=53, sma=7, over=7, numberOfPositions=19, result=1.2184050095506933289093036022929)
ResultModel(adx=28, sma=8, over=8, numberOfPositions=22, result=1.2183584237420710067906850621742)
ResultModel(adx=32, sma=6, over=9, numberOfPositions=27, result=1.2180580356455699764459281630818)
ResultModel(adx=26, sma=9, over=1, numberOfPositions=25, result=1.2175405653141832628914556991109)
ResultModel(adx=26, sma=9, over=2, numberOfPositions=25, result=1.2175405653141832628914556991109)
ResultModel(adx=26, sma=9, over=3, numberOfPositions=25, result=1.2175405653141832628914556991109)
ResultModel(adx=26, sma=9, over=4, numberOfPositions=25, result=1.2175405653141832628914556991109)
ResultModel(adx=26, sma=9, over=5, numberOfPositions=25, result=1.2175405653141832628914556991109)
ResultModel(adx=26, sma=9, over=6, numberOfPositions=25, result=1.2175405653141832628914556991109)
ResultModel(adx=26, sma=9, over=7, numberOfPositions=25, result=1.2175405653141832628914556991109)
ResultModel(adx=47, sma=8, over=7, numberOfPositions=17, result=1.2171286503732795089168577340975)
ResultModel(adx=56, sma=8, over=1, numberOfPositions=20, result=1.2169431777274388379679960871072)
ResultModel(adx=56, sma=8, over=2, numberOfPositions=20, result=1.2169431777274388379679960871072)
ResultModel(adx=56, sma=8, over=3, numberOfPositions=20, result=1.2169431777274388379679960871072)
ResultModel(adx=56, sma=8, over=4, numberOfPositions=20, result=1.2169431777274388379679960871072)
ResultModel(adx=56, sma=8, over=5, numberOfPositions=20, result=1.2169431777274388379679960871072)
ResultModel(adx=29, sma=8, over=7, numberOfPositions=21, result=1.2166157831300630798049167006587)
ResultModel(adx=29, sma=8, over=8, numberOfPositions=21, result=1.2166157831300630798049167006587)
ResultModel(adx=27, sma=8, over=1, numberOfPositions=23, result=1.2165915731476032351307713894359)
ResultModel(adx=27, sma=8, over=2, numberOfPositions=23, result=1.2165915731476032351307713894359)
ResultModel(adx=27, sma=8, over=3, numberOfPositions=23, result=1.2165915731476032351307713894359)
ResultModel(adx=27, sma=8, over=4, numberOfPositions=23, result=1.2165915731476032351307713894359)
ResultModel(adx=27, sma=8, over=5, numberOfPositions=23, result=1.2165915731476032351307713894359)
ResultModel(adx=27, sma=8, over=6, numberOfPositions=23, result=1.2165915731476032351307713894359)
ResultModel(adx=27, sma=8, over=7, numberOfPositions=23, result=1.2165915731476032351307713894359)
ResultModel(adx=41, sma=9, over=9, numberOfPositions=19, result=1.2164946473843252337099026956666)
ResultModel(adx=55, sma=7, over=1, numberOfPositions=22, result=1.2163913663226534004345718903761)
ResultModel(adx=55, sma=7, over=2, numberOfPositions=22, result=1.2163913663226534004345718903761)
ResultModel(adx=55, sma=7, over=3, numberOfPositions=22, result=1.2163913663226534004345718903761)
ResultModel(adx=55, sma=7, over=4, numberOfPositions=22, result=1.2163913663226534004345718903761)
ResultModel(adx=55, sma=7, over=5, numberOfPositions=22, result=1.2163913663226534004345718903761)
ResultModel(adx=28, sma=7, over=1, numberOfPositions=25, result=1.2162842788123375036906436579638)
ResultModel(adx=28, sma=7, over=2, numberOfPositions=25, result=1.2162842788123375036906436579638)
ResultModel(adx=28, sma=7, over=3, numberOfPositions=25, result=1.2162842788123375036906436579638)
ResultModel(adx=28, sma=7, over=4, numberOfPositions=25, result=1.2162842788123375036906436579638)
ResultModel(adx=28, sma=7, over=5, numberOfPositions=25, result=1.2162842788123375036906436579638)
ResultModel(adx=28, sma=7, over=6, numberOfPositions=25, result=1.2162842788123375036906436579638)
ResultModel(adx=28, sma=7, over=7, numberOfPositions=25, result=1.2162842788123375036906436579638)
ResultModel(adx=54, sma=8, over=1, numberOfPositions=19, result=1.2156802221325050132024685902371)
ResultModel(adx=54, sma=8, over=2, numberOfPositions=19, result=1.2156802221325050132024685902371)
ResultModel(adx=54, sma=8, over=3, numberOfPositions=19, result=1.2156802221325050132024685902371)
ResultModel(adx=54, sma=8, over=4, numberOfPositions=19, result=1.2156802221325050132024685902371)
ResultModel(adx=54, sma=8, over=5, numberOfPositions=19, result=1.2156802221325050132024685902371)
ResultModel(adx=45, sma=9, over=1, numberOfPositions=19, result=1.2145136350624951467938504289474)
ResultModel(adx=45, sma=9, over=2, numberOfPositions=19, result=1.2145136350624951467938504289474)
ResultModel(adx=45, sma=9, over=3, numberOfPositions=19, result=1.2145136350624951467938504289474)
ResultModel(adx=45, sma=9, over=4, numberOfPositions=19, result=1.2145136350624951467938504289474)
ResultModel(adx=45, sma=9, over=5, numberOfPositions=19, result=1.2145136350624951467938504289474)
